date,B01,B02,B03,B04,B05,B06,B07,B08,B8A,B09,B11,B12,NDVI,NDMI,NDWI,SAVI,EVI,NDRE,mean_clean_fraction
2017-01-31,0.0030499999999999998,0.0076,0.0244,0.0445,0.064,0.0874,0.10255,0.1216,0.12745,0.12869999999999998,0.21605,0.14995,0.46417820562060313,-0.2797275284230038,-0.6657534242015387,0.17362257916624793,0.14475067586777182,0.3103448274189952,1.0
2017-02-28,,,,,,,,,,,,,,,,,,,
2017-03-31,0.027,0.03,0.047337500000000005,0.06395,0.0903125,0.1201875,0.1370625,0.1549,0.1643875,0.1661,0.2484125,0.169075,0.4168241808818194,-0.2330050994765597,-0.5384799731413022,0.18964144559137747,0.17331200579539946,0.26578044155285707,1.0
2017-04-30,0.10155,0.1282,0.141,0.12229999999999999,0.16825,0.3217,0.3682,0.4052,0.38525,0.3729,0.25725,0.17049999999999998,0.5363033174338763,0.22333761035197564,-0.48370560225490555,0.4129927006897332,0.6006369426241499,0.4132008020902954,0.773
2017-05-31,,,,,,,,,,,,,,,,,,,
2017-06-30,0.0316,0.0264,0.046775,0.0308,0.07705,0.23975000000000002,0.29717499999999997,0.29710000000000003,0.322075,0.32155,0.182975,0.08612500000000001,0.8121378466568656,0.2377229625689668,-0.7279531729000913,0.48248580740639135,0.5185367636826002,0.5881327138858492,1.0
2017-07-31,0.0278,0.031175,0.04635,0.031149999999999997,0.07392499999999999,0.2207,0.280875,0.27685,0.303975,0.30242500000000005,0.18885000000000002,0.09257499999999999,0.7977303496019965,0.1889617819683526,-0.7131853280663089,0.4561268628814261,0.49941220262815755,0.578504970857427,1.0
2017-08-31,0.0407,0.041400000000000006,0.053099999999999994,0.035,0.07805000000000001,0.2247,0.2819,0.28485,0.30855,0.30662500000000004,0.19185000000000002,0.0905,0.7811479937446736,0.19509032787060404,-0.6857528484918595,0.4571264335553962,0.5273968137269536,0.5698539541003433,1.0
2017-09-30,,,,,,,,,,,,,,,,,,,
2017-10-31,0.02267,0.025679999999999998,0.03886,0.03003,0.06577,0.15758999999999998,0.18921000000000002,0.20412,0.21507,0.21575000000000003,0.16933,0.08604,0.7452533625214938,0.09448719458799235,-0.6831827203358932,0.35567309017439946,0.36592977510454305,0.5139171143471931,1.0
